Track,Artist,Album Name,Release Date,ISRC,Spotify Streams,Spotify Popularity,Spotify Playlist Count,All Time Rank,Track Score,
April Rain in August Weather,Baba Blakes,April Rain in August Weather - Single,3/24/2023,FR96X2351551,408449.0,12.0,38,"1,004",47.9,
LEATHER,MAKAELA,LEATHER,1/27/2023,QZJG52355895,1696.0,,,1,47.9,
Panini,Lil Nas X,Panini,6/20/2019,USSM11903948,741766886.0,62.0,"96,241","1,003",47.9,
She Had Me At Heads Carolina,Cole Swindell,Stereotype,4/8/2022,USWB12200181,244709550.0,69.0,"33,533","1,007",47.9,
"So Long, London",Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401032,175613480.0,84.0,"4,454","1,008",47.8,
good 4 u,Olivia Rodrigo,good 4 u,5/14/2021,USUG12101253,2167768056.0,54.0,"12,805","1,009",47.8,
bad idea right?,Olivia Rodrigo,bad idea right?,8/11/2023,USUG12304094,433515672.0,12.0,"37,313","1,012",47.7,
"Ay, DiOs Mï¿½ï",KAROL G,"Ay, DiOs Mï¿½ï",7/10/2020,USUM72013593,599215039.0,61.0,"57,051","1,016",47.7,
happier,Olivia Rodrigo,SOUR,5/21/2021,USUG12101247,1133535049.0,79.0,"116,055","1,015",47.7,
Lalala,Y2K,Lalala,6/28/2019,USSM11904230,968133091.0,66.0,"142,494","1,01",47.7,
ONE MORE TIME,blink-182,ONE MORE TIME / MORE THAN YOU KNOW,9/21/2023,USSM12306395,62097485.0,,"16,027","1,011",47.7,
ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,ýýýýýýýýýýýýýýýýýýýýý,11/21/2022,JPX402200183,23191929.0,51.0,"5,912","1,014",47.7,
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,Tubarï¿½ï¿½o Te,9/28/2022,BC91N2200001,150177750.0,59.0,"30,142","1,013",47.7,
Chichiquetere,HCTM,Chichiquetere,8/6/2022,SGB502231965,1858478.0,28.0,581,"1,017",47.6,
After Hours,Kehlani,After Hours,4/4/2024,USAT22401034,34629239.0,14.0,"3,962","1,019",47.6,
Monkeys Spinning Monkeys,Kevin MacLeod,SteamFun - Single,5/16/2011,USUAN1400011,11477477.0,36.0,"7,679","1,018",47.6,
II MOST WANTED,Beyoncï¿,COWBOY CARTER,3/27/2024,USSM12402717,76870736.0,,"5,252","1,022",47.5,
One Kiss (with Dua Lipa),Calvin Harris,Dua Lipa (Complete Edition),1/1/2015,GBARL1800368,2178606166.0,79.0,"291,456","1,024",47.5,
Mmhmm,BigXthaPlug,Mmhmm,10/6/2023,QZNMX2391413,155648648.0,82.0,"28,131","1,02",47.5,
BOP,DaBaby,KIRK,9/27/2019,USUM71918972,820923123.0,68.0,"158,363","1,021",47.5,
Husn,Anuv Jain,Husn,12/1/2023,INUM72303081,181457783.0,74.0,"12,424","1,023",47.5,
Titanium (feat. Sia),Sia,Nothing But The Beat,1/1/2011,GB28K1100036,1634403761.0,74.0,"244,291","1,031",47.4,
Kahani Suno 2.0,Kaifi Khalil,Kahani Suno 2.0,5/31/2022,QZK6Q2278612,296648613.0,68.0,"21,479","1,027",47.4,
No_se_ve.mp3,Emilia,No_se_ve.mp3 - Single,5/3/2023,QM6N22333334,218340846.0,64.0,"30,667","1,025",47.4,
Lean On (feat. Mï¿½ï¿½ & DJ Snake) - J Balvin & Farruko R,Major Lazer,Lean On (feat. Mï¿½ï¿½ & DJ Snake) [J Balvin & Farruko Re,9/4/2015,FR6P11501180,53822187.0,,"2,081","1,03",47.4,
Arcade,Duncan Laurence,Arcade,3/7/2019,NL1TK1900001,1184536529.0,69.0,"199,838","1,029",47.4,
Ya Te Olvide,Natanael Cano,Ya Te Olvide,5/15/2024,QZ9QQ2400324,38139811.0,79.0,"1,763","1,032",47.4,
How Deep Is Your Love,Calvin Harris,How Deep Is Your Love,7/17/2015,GBARL1500704,1156342373.0,78.0,"168,603","1,026",47.4,
BUTTERFLY EFFECT,Travis Scott,EPIC AF,1/1/2017,USSM11704799,1388024799.0,79.0,"219,41","1,028",47.4,
Let You Down,NF,Let You Down,9/15/2017,USUM71708226,1472430869.0,73.0,"187,536","1,034",47.2,
FE!N (feat. Playboi Carti),Travis Scott,FE!N (feat. Playboi Carti),3/30/2024,USSM22301824,656618110.0,,3,"1,033",47.2,
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,7/22/2022,GBUM72203666,460973352.0,69.0,"87,026","1,035",47.2,
Yo Perreo Sola,Bad Bunny,YHLQMDLG,2/29/2020,QM4TX2030934,745086450.0,67.0,"95,154","1,036",47.1,
ETA,NewJeans,NewJeans 2nd EP 'Get Up',7/21/2023,USA2P2330071,234215735.0,74.0,"20,419","1,038",47.1,
Jordan,Ryan Castro,Jordan,4/30/2021,FR96X2111994,535847791.0,73.0,"57,454","1,037",47.1,
Take You Dancing,Jason Derulo,Take You Dancing,7/22/2020,USAT22004479,716319941.0,65.0,"98,905","1,039",47.1,
BUBALU,Feid,BUBALU,9/22/2023,USUM72312321,152487756.0,,"26,763","1,043",47.0,
Be Alright,Dean Lewis,Be Alright,6/29/2018,AUUM71800255,1749353402.0,72.0,"182,732","1,042",47.0,
Jalebi Baby,Tesher,Jalebi Baby,11/13/2020,QZNWQ2070741,164137928.0,58.0,"47,324","1,041",47.0,
Endless Summer,Alan Walker,Endless Summer,7/13/2023,NOG842305010,28340672.0,55.0,"7,147","1,04",47.0,
Belly Dancer,Imanbek,Belly Dancer,2/18/2022,NLZ542200165,547114702.0,75.0,"110,008","1,047",46.9,
Who Told You (feat. Drake),J Hus,Who Told You (feat. Drake) - Single,6/8/2023,GBARL2300716,142574143.0,62.0,"72,496","1,046",46.9,
NIGHT DANCER,imase,NIGHT DANCER - Single,8/19/2022,JPPO02202918,239149370.0,67.0,"46,984","1,045",46.9,
Yoksun,Ebru Yaï¿½ï,Yoksun - Single,2/2/2024,FR2X42424385,33174286.0,,"1,658","1,048",46.9,
DON'T YOU WORRY,Black Eyed Peas,Don't You Worry,6/16/2022,USSM12202555,302939117.0,62.0,"48,916","1,044",46.9,
"Rowdy Baby (From ""Maari 2"")",Dhanush,U1 For Life,8/26/2020,IND291823075,58283353.0,,12,"1,057",46.8,
MIDDLE OF THE NIGHT,Elley Duhï¿,MIDDLE OF THE NIGHT,1/10/2020,USRC11903813,1104008150.0,72.0,"173,612","1,054",46.8,
Pickup Man (feat. Post Malone),HARDY,HIXTAPE Vol. 3: DIFFTAPE (Small Batch),11/9/2023,USUG12305726,27891947.0,,"11,898","1,055",46.8,
Volando (Remix),Mora,Volando (Remix),7/8/2021,QMFME2105596,701919939.0,68.0,"105,247","1,052",46.8,
Moth To A Flame (with The Weeknd),Swedish House Mafia,The Highlights (Deluxe),2/5/2021,USUG12105524,861100951.0,74.0,"153,435","1,056",46.8,
WORTH IT (feat. Don Toliver),Offset,WORTH IT (feat. Don Toliver),10/12/2023,USUM72313166,48339964.0,,"24,76","1,05",46.8,
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Olivia Rodrigo,Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,11/3/2023,USUG12307028,259807712.0,,"30,605","1,053",46.8,
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Ana Castela,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,7/7/2023,BX3022300019,210195998.0,65.0,"10,723","1,051",46.8,
"Naina (From ""Crew"")",Diljit Dosanjh,"Naina (From ""Crew"") - Single",3/5/2024,INT102400827,65661355.0,76.0,"2,351","1,049",46.8,
Bel Bont El3areedh,Hussain Aljassmi,Haflet Al'ahramat 2022 - Egypt,12/19/2022,AEA142213346,16119.0,6.0,5,"1,059",46.7,
"Naa Ready (From ""Leo"")",Anirudh Ravichander,"Naa Ready (From ""Leo"")",6/22/2023,INS172307161,142430643.0,64.0,"6,611","1,058",46.7,
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,10/20/2017,MXF151700546,871780891.0,68.0,"56,085","1,061",46.6,
Feel the POP,ZEROBASEONE,You had me at HELLO,5/13/2024,KRA492400588,8699917.0,58.0,533,"1,06",46.6,
Diamonds,Rihanna,Unapologetic (Edited Version),1/1/2012,USUM71211793,1419912461.0,70.0,"180,128","1,063",46.5,
Fuera del mercado,Danny Ocean,@dannocean,2/17/2022,USWL12200098,535013440.0,71.0,"57,772","1,064",46.5,
Poor People We,Harp and a monkey,Poor People We,11/28/2022,UKXN22273282,1071.0,,6,"1,062",46.5,
El Cielo,Sky Rompiendo,El Cielo - Single,6/2/2023,USSD12300241,354097795.0,74.0,"53,606","1,068",46.4,
ALL MY FELLAS,Frizk,ALL MY FELLAS,9/19/2023,QZTAZ2359846,56978899.0,,"19,534","1,07",46.4,
Bebefinn Song,Pinkfong,Bebefinn Song - Single,5/3/2024,KRE672300203,38895.0,,8,"1,069",46.4,
BITTERSUITE,Billie Eilish,HIT ME HARD AND SOFT,5/17/2024,USUM72401987,58810212.0,87.0,"3,394","1,066",46.4,
Me Fui de Vacaciones,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214894,366872354.0,68.0,"61,014","1,067",46.4,
Talk (feat. Disclosure),Khalid,Talk,2/7/2019,USRC11900004,968194426.0,64.0,"121,168","1,065",46.4,
Rompe La Dompe,Peso Pluma,Rompe La Dompe,12/28/2023,QMFMG2368181,164219485.0,,"11,966","1,071",46.3,
greedy sped up,Tate McRae,greedy,9/14/2023,USRC12302740,21648841.0,,"2,778","1,074",46.2,
Reloj,Rauw Alejandro,Reloj,10/22/2020,USSD12000471,579749218.0,65.0,"90,725","1,072",46.2,
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,3/22/2024,THSOH2402582,2730458.0,,257,"1,073",46.2,
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,Youï¿½ï¿½ï¿½re Mines Still (feat. ,10/15/2020,USWB12004394,233139871.0,63.0,"77,694","1,075",46.1,
BADGYAL,SAIKO,SAKURA,4/26/2024,QM4TX2482887,56282981.0,80.0,"5,849","1,076",46.1,
Sorry 4 The Wait,Lil Wayne,Sorry 4 The Wait,1/14/2022,USUG12106458,24285898.0,54.0,"8,422","1,079",46.0,
DILUVIO,Rauw Alejandro,PLAYA SATURNO,7/7/2023,USSD12300302,310562790.0,79.0,"33,458","1,078",46.0,
ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),10/12/2018,USAT21811523,1070685587.0,71.0,"203,323","1,08",46.0,
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"") - Single",7/17/2022,INS172203702,516740949.0,67.0,"30,584","1,084",46.0,
The Craving (single version),Twenty One Pilots,The Craving (single version) - Single,5/22/2024,USAT22403454,9084595.0,,"1,087","1,083",46.0,
Bartolito,Duo Tiempo de Sol,20 GRANDES ï¿½ï¿½X,10/5/2015,ARF061500454,70061366.0,62.0,"6,847","1,082",46.0,
Peaches,Jack Black,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),4/7/2023,USQ4E2204040,144252786.0,64.0,"35,929","1,077",46.0,
Take My Breath - Single Version,The Weeknd,Take My Breath,8/5/2021,USUG12102076,465348362.0,57.0,"89,586","1,085",45.9,
Lavender Haze,Taylor Swift,Midnights,10/21/2022,USUG12205734,711138043.0,73.0,"42,535","1,09",45.9,
KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,6/10/2022,QMEU32209358,331419634.0,68.0,"92,569","1,089",45.9,
Toca o Trompete,Felipe Amorim,Cadï¿½ï¿½ o After? P,7/21/2023,BCOOP2300013,166784328.0,66.0,"15,122","1,087",45.9,
Nobody Gets Me,SZA,SOS,12/9/2022,USRC12204598,561645790.0,82.0,"58,561","1,091",45.9,
Sleep Well,CG5,Sleep Well - Single,2/16/2024,USA2P2406901,19236234.0,,"1,602","1,086",45.9,
Hei Apa Apa / Tik Tak Tik Tik,Donny Fernanda,Nuansa Angkot 2023 - Vol. 1,2/14/2023,FR59R2347368,12415.0,,1,"1,092",45.9,
Glock In My Lap,21 Savage,SAVAGE MODE II,10/2/2020,USSM12006061,614603953.0,78.0,"164,722","1,088",45.9,
overseas,Ken Carson,overseas,4/12/2024,USUM72403587,35980441.0,79.0,"7,297","1,095",45.8,
CORAZï¿½ï¿½N VA,Maria Becerra,CORAZï¿½ï¿½N VA,6/22/2023,USWL12301086,251442618.0,71.0,"19,913","1,094",45.8,
PUNTO G,Quevedo,Punto G,11/4/2022,BK4DA2202913,600073400.0,71.0,"73,593","1,096",45.8,
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,"Muqabla (From ""Street Dancer 3D"")",12/21/2019,INS181905922,102668822.0,58.0,"8,999","1,093",45.8,
Ditto,NewJeans,Ditto,12/19/2022,USA2P2254487,614497357.0,74.0,"47,586","1,098",45.7,
"Katchi Sera - From ""Think Indie""",Sai Abhyankkar,"Katchi Sera (From ""Think Indie"")",1/22/2024,INT202404272,61447714.0,,"2,592","1,099",45.7,
Danza Kuduro - Cover,MUSIC LAB JPN,BEST CLUB 2023 TREND MIX,11/24/2023,TCJPX2397668,1642258500.0,,11,"1,097",45.7,
Bubble Gum,NewJeans,How Sweet,5/24/2024,USA2P2414844,20630900.0,76.0,"1,536","1,101",45.6,
Abejita Chiquitita,El Payaso Plim Plim,Las Canciones de Plim Plim Vol. 8,9/8/2023,ARLIB2220027,5741262.0,,275,"1,102",45.6,
Love wins all,IU,Love wins all,1/24/2024,KRA382400642,60903416.0,,"4,743","1,1",45.6,
PRINCESITA DE ...,Jere Klein,ýýNFASIS,12/1/2023,QMFMF2334329,106290197.0,70.0,"11,766","1,103",45.5,
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),10/5/2021,USA2P2135437,912709169.0,67.0,"94,302","1,104",45.4,
BABY HELLO,Rauw Alejandro,BABY HELLO - Single,6/23/2023,USSD12300274,268383799.0,68.0,"47,936","1,105",45.3,
ONE CALL,Rich Amiri,ONE CALL,11/3/2023,QZJ842004052,271566931.0,80.0,"33,97","1,106",45.2,
Pehle Bhi Main,Vishal Mishra,ANIMAL,11/24/2023,INS182303389,235472222.0,77.0,"10,873","1,111",45.2,
Kill Bill,pasa michaelson,Kill Bill - Single,8/26/2023,GB8KE2318565,1842758768.0,,1,"1,156",45.2,
2/Catorce,Rauw Alejandro,2/Catorce,2/14/2021,USSD12100059,534981600.0,64.0,"92,466","1,107",45.2,
Ride,Twenty One Pilots,Ride,5/12/2015,USAT21500598,1724766252.0,79.0,"240,346","1,11",45.2,
Dusk Till Dawn (feat. Sia),ZAYN,Dusk Till Dawn (feat. Sia) - Single,9/8/2017,USRC11701783,7660758.0,36.0,"2,412","1,108",45.2,
Rush,Troye Sivan,Rush,7/13/2023,AUUM72300170,299291405.0,28.0,"45,754","1,109",45.2,
Physical,Dua Lipa,Physical,1/30/2020,GBAHT1901298,967029446.0,71.0,"108,666","1,115",45.1,
Pumped Up Kicks,Foster The People,Pumped up Kicks,1/1/2010,USSM11002931,1791778314.0,81.0,"344,49","1,113",45.1,
Yes Indeed,Lil Baby,Yes Indeed,5/15/2018,USUM71806749,1110994645.0,74.0,"186,456","1,112",45.1,
Open Arms (feat. Travis Scott),SZA,SOS,12/8/2022,USRC12204602,418181065.0,76.0,"67,858","1,114",45.1,
edamame (feat. Rich Brian),bbno$,edamame,7/24/2021,QMUY42100151,460770585.0,9.0,"137,449","1,117",45.0,
Turn Down for What,DJ Snake,Turn Down for What,12/18/2013,USSM11308174,547207250.0,65.0,"103,666","1,116",45.0,
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],Metro Boomin,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),6/2/2023,USUM72308543,234350961.0,69.0,"56,138","1,12",44.9,
Smokin Out The Window,Bruno Mars,Smokin Out The Window,11/5/2021,USAT22105952,463977298.0,66.0,"100,305","1,121",44.9,
Goin' Off,Karan Aujla,Goin' Off,5/9/2024,AUBEC2438653,13606839.0,70.0,836,"1,118",44.9,
Close To You,Gracie Abrams,Close To You,6/7/2024,USUG12401775,13700065.0,74.0,"1,162","1,119",44.9,
Pagli Dekhave Agarbatti,Neelkamal Singh,Pagli Dekhave Agarbatti,9/28/2023,INH102313673,20981562.0,,379,"1,124",44.8,
From The D To The A (feat. Lil Yachty),Tee Grizzley,From The D To The A (feat. Lil Yachty),3/17/2017,QMCE31700982,364325529.0,64.0,"83,638","1,122",44.8,
Me Rehï¿½ï,Danny Ocean,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,11/3/2017,USWL11900076,1778934858.0,74.0,"37,04","1,126",44.8,
Nonsense,Sabrina Carpenter,emails i can't send,7/15/2022,USUM72210708,817286460.0,83.0,"55,62","1,129",44.8,
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,Destined 2 Win,4/2/2021,USSM12101540,392745531.0,67.0,"141,221","1,127",44.8,
Lose You To Love Me,Selena Gomez,Lose You To Love Me,10/23/2019,USUM71918727,1222228366.0,72.0,"109,325","1,123",44.8,
Worth It,YK Osiris,Worth It,2/8/2019,USUM71821752,340112388.0,60.0,"66,487","1,125",44.8,
Fight The Feeling,Rod Wave,Fight The Feeling,3/31/2023,USQX92301922,86327319.0,51.0,"18,112","1,128",44.8,
Axel F,Crazy Frog,Best of Crazy Hits,12/11/2009,DEAF71578230,178536020.0,30.0,870,"1,134",44.7,
Robbery,Juice WRLD,Robbery,2/13/2019,USUG11900302,1306374052.0,73.0,"213,493","1,131",44.7,
Bebe Dame,Fuerza Regida,Bebe Dame - Single,12/16/2022,QZ9QQ2200182,562099076.0,70.0,"51,229","1,132",44.7,
Green Green Grass,George Ezra,george ezra songs to play when the sun's out,3/22/2022,GBARL2200008,300430813.0,69.0,"50,552","1,133",44.7,
Zihaal e Miskin,Javed-Mohsin,Zihaal e Miskin,5/25/2023,INUM72300284,110644306.0,65.0,"4,432","1,135",44.7,
Fiel,Los Legendarios,Los Legendarios 001,2/4/2021,QM4TW2136314,642558596.0,64.0,"106,151","1,13",44.7,
Neverita,Bad Bunny,Un Verano Sin Ti,5/6/2022,QM6MZ2214882,831868563.0,73.0,"93,211","1,139",44.6,
2002 - Remix,Shaun Reynolds,2002 (Remix),5/11/2018,QZ22B1944940,303962.0,8.0,88,"1,136",44.6,
No Se Va,Grupo Frontera,No Se Va,12/1/2022,USDA12211641,51750.0,,67,"1,137",44.6,
Infinity,Jaymes Young,Feel Something,6/23/2017,USAT21700859,1059940209.0,74.0,"169,454","1,138",44.6,
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,The Highlights (Deluxe),2/5/2021,USUG12303876,812954133.0,81.0,"137,681","1,142",44.5,
adore u,Fred again..,adore u,8/11/2023,GBAHS2300908,129427492.0,71.0,"44,672","1,141",44.5,
Numb Little Bug,Em Beihold,Numb Little Bug,1/28/2022,USUM72200626,360584207.0,66.0,"68,868","1,143",44.5,
Feel It,d4vd,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,3/28/2024,USUM72401132,110377644.0,,"8,98","1,14",44.5,
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,"Loco Contigo (with J. Balvin, feat. Tyga)",6/13/2019,USUG11901580,822696809.0,68.0,"141,261","1,144",44.4,
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),7/20/2023,BX5EU2300034,222879686.0,68.0,"26,854","1,145",44.4,
Suicidal,YNW Melly,Melly vs. Melvin,11/22/2019,QMCE31902585,572441305.0,67.0,"113,061","1,146",44.4,
"Photo (From ""Luka Chuppi"")",Karan Sehmbi,"Photo (From ""Luka Chuppi"")",2/12/2019,INS181900313,72849488.0,54.0,"9,804","1,149",44.3,
Sky,Playboi Carti,Whole Lotta Red,12/25/2020,USUM72024699,710319373.0,74.0,"209,136","1,147",44.3,
Love On,Selena Gomez,Love On,2/22/2024,USUM72318034,45878045.0,,"3,731","1,148",44.3,
Payphone,Maroon 5,Overexposed Track By Track,1/1/2012,USUM71203347,1828026153.0,78.0,"249,663","1,153",44.2,
Brickell,Feid,MANIFESTING 20-05,4/10/2024,USUG12402595,59546208.0,79.0,"5,064","1,15",44.2,
I Like Me Better,Lauv,I Like Me Better,5/19/2017,GBWWP1702907,1784308411.0,75.0,"157,818","1,152",44.2,
RUNAWAY,OneRepublic,RUNAWAY,5/26/2023,USUM72304684,127466467.0,67.0,"16,65","1,154",44.2,
Que Se Cuide,Luis R Conriquez,Que Se Cuide,5/3/2024,QZNJV2414655,36145614.0,77.0,"1,566","1,151",44.2,
On My Love,Zara Larsson,On My Love (Sped Up),9/12/2023,USSM12306769,128024416.0,7.0,"20,826","1,159",44.1,
Mujeriego,Ryan Castro,Mujeriego - Single,12/17/2021,COSO12100328,285723562.0,63.0,"63,343","1,158",44.1,
Miss The Rage (feat. Playboi Carti),Trippie Redd,Miss The Rage,5/7/2021,QZJ842000983,535695469.0,6.0,"188,778","1,16",44.1,
TUTA GOLD,Mahmood,TUTA GOLD,2/7/2024,ITUM72400066,95029509.0,65.0,"5,218","1,157",44.1,
My Boy Only Breaks His Favorite Toys,Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401030,161916445.0,83.0,"3,784","1,161",44.0,
Dandini Dandini Dastana,Derya Yildirim,"Hey Dostum, ï¿½ï¿",2/10/2023,DEE882214257,12750.0,9.0,8,"1,165",44.0,
Florida!!! (feat. Florence + the Machine),Taylor Swift,THE TORTURED POETS DEPARTMENT,4/18/2024,USUG12401035,140177107.0,,"3,866","1,162",44.0,
Legends,Juice WRLD,Legends,6/22/2018,USUG11801263,681282854.0,63.0,"118,639","1,166",44.0,
Black Beatles,Rae Sremmurd,SremmLife 2 (Deluxe),8/12/2016,USUM71603293,972005229.0,69.0,"186,174","1,164",44.0,
King Size,Roddy Ricch,Feed Tha Streets III,11/18/2022,USAT22220949,3248779.0,33.0,"3,105","1,163",44.0,
Girls Want Girls (with Lil Baby),Drake,Certified Lover Boy,9/3/2021,USUG12104399,459480135.0,68.0,"137,691","1,168",43.9,
Linger - SiriusXM Session,Royel Otis,SiriusXM Session,5/31/2024,FRX872443806,8053814.0,69.0,908,"1,171",43.9,
SLOW DANCING IN THE DARK,Joji,SLOW DANCING IN THE DARK,9/12/2018,ZZOPM1800452,1291244134.0,29.0,"241,882","1,167",43.9,
BIPOLAR,Peso Pluma,BIPOLAR,9/7/2023,QMBZ92388584,222295526.0,,"18,049","1,169",43.9,
Addicted,Zerb,Addicted (feat. Ink) - Single,3/29/2024,NLRD52350359,63142772.0,79.0,"7,213","1,17",43.9,
Besos Moja2,Wisin & Yandel,Besos Moja2,9/29/2022,USSD12200829,416361102.0,69.0,"48,45","1,176",43.8,
Wake Up in the Sky,Gucci Mane,Wake Up in the Sky,9/14/2018,USAT21811087,996942947.0,71.0,"188,378","1,173",43.8,
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Selena,Amor Prohibido (Remasterizado 2024/30th Anniversary),3/22/2024,USUM72402909,195435575.0,,15,"1,174",43.8,
Papercut,Linkin Park,Papercuts,4/12/2024,USWB11201315,497285757.0,,130,"1,177",43.8,
Chanel,Becky G,Chanel,3/30/2023,USRC12300804,287853890.0,65.0,"21,244","1,175",43.8,
Otro Trago,Sech,Sueï¿½ï,4/18/2019,QM9WM1900120,693061510.0,63.0,"73,605","1,172",43.8,
Back In Blood (feat. Lil Durk),Pooh Shiesty,Back In Blood (feat. Lil Durk),11/6/2020,USAT22007048,378239461.0,62.0,"126,894","1,18",43.7,
Jugaste y Sufrï¿,Eslabon Armado,Corta Venas,12/18/2020,USE7D2000268,492509763.0,70.0,"83,013","1,182",43.7,
Una Foto Remix (feat. Emilia),Mesita,Una Foto Remix (feat. Emilia),1/5/2024,UYS642300003,206001461.0,78.0,"15,932","1,181",43.7,
Religiously,Bailey Zimmerman,Religiously,3/17/2023,USWB12300537,225556005.0,73.0,"25,164","1,178",43.7,
What Happened To Virgil (feat. Gunna),Lil Durk,7220,3/11/2022,USQX92200954,144889291.0,59.0,"63,045","1,179",43.7,
Hello,Adele,Hello,10/23/2015,GBBKS1500214,1550553401.0,68.0,"140,637","1,186",43.6,
HAY LUPITA,Lomiiel,HAY LUPITA - Single,3/28/2024,QZHNA2429530,22692011.0,71.0,"1,996","1,187",43.6,
Gatita,Bellakath,Gatita,10/5/2022,QZPLR2286558,218661601.0,57.0,"25,714","1,184",43.6,
World on Fire,Nate Smith,NATE SMITH (DELUXE),4/28/2023,USRN12300006,100360956.0,69.0,"15,383","1,183",43.6,
Love You Anyway,Luke Combs,Love You Anyway,2/10/2023,US6XF2100158,164507374.0,67.0,"29,896","1,185",43.6,
MOJABI GHOST,Tainy,DATA,6/29/2023,USA2P2331985,368429447.0,75.0,"46,625","1,188",43.5,
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,5/13/2022,USUM72208963,426936498.0,74.0,"118,02","1,194",43.4,
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],Metro Boomin,HEROES & VILLAINS,12/2/2022,USUG12208792,325654069.0,71.0,"108,296","1,191",43.4,
Volvï¿,Didi Romero,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,1/11/2023,QZTJ32100010,47586.0,,60,"1,192",43.4,
Papercut,Linkin Park,Papercuts,4/12/2024,USWB12401897,497285757.0,,4,"1,193",43.4,
Earned It (Fifty Shades Of Grey),The Weeknd,Fifty Shades Of Grey (Original Motion Picture Soundtrack),2/10/2015,USUG11500923,1667089416.0,69.0,"97,707","1,195",43.4,
Gucci Gang,Lil Pump,Gucci Gang,8/31/2017,USWB11701486,648757330.0,55.0,"66,961","1,189",43.4,
La Bebe,Yng Lvcas,LPM,12/24/2021,QZTAT2174000,255707376.0,64.0,"35,404","1,198",43.3,
Jaded,Miley Cyrus,Endless Summer Vacation,3/10/2023,USSM12209778,173349210.0,65.0,"22,117","1,197",43.3,
Bye,Peso Pluma,Bye,5/26/2023,QM6P42321186,252239644.0,65.0,"24,974","1,196",43.3,
L$d,Luclover,Deaf 2 Society,4/22/2022,QZHN42243265,34621941.0,36.0,"15,846","1,199",43.3,
Wolves,Selena Gomez,Wolves,10/25/2017,USUM71712103,1358424406.0,71.0,"123,735","1,2",43.3,
Scars To Your Beautiful,Alessia Cara,Know-It-All,11/13/2015,USUM71506811,1422563654.0,71.0,"129,568","1,201",43.2,
FRI(END)S,V,FRI(END)S,3/15/2024,USA2P2411822,196612187.0,85.0,"3,8","1,203",43.2,
Surface Pressure,Jessica Darrow,Encanto (Original Motion Picture Soundtrack),11/19/2021,USWD12112914,318018082.0,65.0,"41,062","1,204",43.2,
Volver Al Futuro,Oscar Maydon,Volver Al Futuro,5/30/2024,QZ9QQ2400330,25593926.0,78.0,"1,247","1,202",43.2,
Praise God,Kanye West,Donda,8/29/2021,USUM72116287,451323154.0,67.0,"143,071","1,208",43.1,
Friesenjung,Ski Aggu,Friesenjung,5/25/2023,DE1FB2300037,150508549.0,70.0,"70,377","1,205",43.1,
El Azul,Junior H,El Azul - Single,2/10/2023,QZ9QQ2300115,684103586.0,76.0,"42,304","1,206",43.1,
